id;server_name;ip_server;os_server;login;password
1;Reverse-engineered Soft;killer;District Facilitator;cyan withdrawal;Rubber Infrastructure Implementation
2;Streamlined;Checking Account deposit;synthesize;strategize Automated Swiss Franc;bandwidth
3;transitional Netherlands Plaza;quantifying Awesome Practical;software Incredible encryption;Netherlands Antillian Guilder Savings Account payment;Credit Card Account RSS
4;synergies;granular Optimization Automotive;quantifying SCSI;logistical Awesome Steel Pants;multi-state Dynamic Assistant
5;Fish Corporate solid state;4th generation;Kentucky;tertiary Unbranded Concrete Shoes;Wooden engineer Buckinghamshire
6;Savings Account Facilitator;SAS Tasty;Refined Cotton Bike Total Borders;Mountains;Gorgeous
7;Cayman Islands transmitter;unleash;Representative Extended;Auto Loan Account Nebraska;Response magenta generating
8;customized California;Gabon;Incredible Soft Bacon dynamic;evolve;pixel ivory Fish
9;lime Refined;Checking Account quantifying Saint Kitts and Nevis;Administrator bypass Focused;invoice Soft;Product
10;Fiji bandwidth-monitored Tasty Plastic Computer;quantify;disintermediate;calculating Buckinghamshire;Designer wireless Expanded
